#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1,Light Switch,Charlie Puth,91,"dance pop, pop, viral pop",Pop,Light Switch,2022-01-20,3:05,69,63,11,0,91,31,9,-6,184,F#/G♭ Major,2B,4,2022-02-11,1BSMpVGWs3v5BZKnAQziAc
2,Lookalike,Conan Gray,73,"bedroom pop, indie pop, pop","Pop, Rock",Sunset Season,2018-11-16,3:40,43,30,77,0,17,4,15,-10,122,A#/B♭ Major,6B,4,2022-02-11,4K3gM7kzX4POAfrs71HomN
3,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,78,pop,Pop,Red (Taylor's Version),2021-11-12,3:20,68,73,0,0,58,3,10,-5,121,G Major,9B,4,2022-02-11,6pYNq0ZwpPVazKzsqpf0G8
4,I Still Haven't Found What I'm Looking For,U2,0,"irish rock, permanent wave, rock","World/Traditional, Rock",The Joshua Tree,1987-03-10,4:37,56,63,2,0,68,4,7,-13,101,C♯/D♭ Major,3B,4,2022-02-11,5MEMiHV54Y5ODV1zvEPsyp
5,People Watching,Conan Gray,81,"bedroom pop, indie pop, pop","Pop, Rock",People Watching,2021-07-15,2:38,53,59,39,0,54,5,31,-7,126,F Major,7B,4,2022-02-11,4JeOesjcWWlprTAvucDSJX
6,Wildest Dreams (Taylor's Version),Taylor Swift,86,pop,Pop,Wildest Dreams (Taylor's Version),2021-09-17,3:40,58,67,4,0,50,6,13,-7,140,G#/A♭ Major,4B,4,2022-02-11,1Ov37jtRQ2YNAe8HzfczkL
7,What A Time (feat. Niall Horan),"Julia Michaels,Niall Horan",85,"alt z, dance pop, electropop, pop, post-teen pop",Pop,Inner Monologue Part 1,2019-01-24,2:53,52,47,66,0,39,3,9,-6,133,C Major,8B,4,2022-02-11,5WtfUKzXircvW8l5aaVZWT
8,Telepath,Conan Gray,76,"bedroom pop, indie pop, pop","Pop, Rock",Telepath,2021-10-29,3:14,61,82,0,0,74,5,7,-5,75,A Major,11B,4,2022-02-11,3Z39gbqdaGL3WJXBG0gcuE
9,Red (Taylor's Version),Taylor Swift,82,pop,Pop,Red (Taylor's Version),2021-11-12,3:43,52,78,0,0,41,4,8,-5,125,C♯/D♭ Minor,12A,4,2022-02-11,4OAuvHryIVv4kMDNSLuPt6
10,hope ur ok,Olivia Rodrigo,79,pop,Pop,SOUR,2021-05-21,3:29,44,30,39,0,17,6,10,-12,77,C Major,8B,4,2022-02-11,1zejeOnykpCoyVSit6Bwp3
11,Secret,Joshua Bassett,72,"alt z, pop, post-teen pop, social media pop",Pop,Crisis / Secret / Set Me Free,2021-12-03,3:12,61,82,3,0,59,6,8,-6,145,D Major,10B,4,2022-02-11,77Gfhrr1Uh9Pv57MUUmVuY
12,I Knew You Were Trouble (Taylor's Version),Taylor Swift,77,pop,Pop,Red (Taylor's Version),2021-11-12,3:39,58,56,1,0,77,3,6,-6,154,F#/G♭ Major,2B,4,2022-02-11,6AtZLIzUINvExIUy4QhdjP
13,Happier Than Ever - Edit,Billie Eilish,87,"art pop, electropop, pop",Pop,Happier Than Ever (Edit),2021-07-28,2:31,33,60,5,0,13,4,21,-6,162,C Major,8B,3,2022-02-11,32BeYxKPrig1LefHsC0Xuo
14,Wish You Were Sober,Conan Gray,74,"bedroom pop, indie pop, pop","Pop, Rock",Kid Krow,2020-03-20,2:48,70,73,2,0,70,5,17,-5,91,D Major,10B,4,2022-02-11,0kn2gu8Pd03DiYHzRvX2Xk
15,traitor,Olivia Rodrigo,92,pop,Pop,SOUR,2021-05-21,3:49,38,34,69,0,8,3,12,-8,101,D#/E♭ Major,5B,4,2022-02-11,5CZ40GBx1sQ9agT82CLQCT
16,Two Ghosts,Harry Styles,75,pop,Pop,Harry Styles,2017-05-12,3:49,39,41,23,0,46,3,10,-7,69,F#/G♭ Minor,11A,4,2022-02-11,4B1rpPmQXwj78wk6aIGwwU
17,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,91,pop,Pop,Red (Taylor's Version),2021-11-12,10:13,63,52,27,0,21,3,9,-9,93,C Major,8B,4,2022-02-11,5enxwA8aAbwZbf5qCHORXi
18,Smokin Out The Window,"Bruno Mars,Anderson .Paak,Silk Sonic",74,"dance pop, pop, escape room,",Pop,An Evening With Silk Sonic,2021-11-12,3:17,63,62,6,0,85,4,35,-9,82,D Major,10B,4,2022-02-11,6M4jdLdM7wLGungMV9gsCS
19,Wrecked,Imagine Dragons,80,"modern rock, rock",Rock,Wrecked,2021-07-02,4:04,63,56,15,0,23,3,11,-6,94,C Minor,5A,4,2022-02-11,2d1MywHy6FwKdzxFuSJnwl
20,THATS WHAT I WANT,Lil Nas X,94,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5,88,C♯/D♭ Minor,12A,4,2022-02-11,0e8nrvls4Qqv5Rfa2UhqmO
21,Points of Authority,Linkin Park,69,"alternative metal, nu metal, post-grunge, rap metal",Metal,Hybrid Theory (Bonus Edition),2000-10-24,3:20,51,97,3,0,43,21,10,-4,95,G#/A♭ Minor,1A,4,2022-02-11,5egqKwgK5r5rvGD1LrtR7J
22,God is a woman,Ariana Grande,81,"dance pop, pop",Pop,Sweetener,2018-08-17,3:17,60,66,2,0,27,6,24,-6,145,C♯/D♭ Major,3B,4,2022-02-11,5OCJzvD7sykQEKHH7qAC3C
23,Always Been You,Shawn Mendes,60,"canadian pop, dance pop, pop, viral pop",Pop,Wonder,2020-12-04,2:47,37,39,23,0,31,4,8,-7,125,D#/E♭ Major,5B,4,2022-02-11,56KDoLjFIm7Yc7fX1XgpNw
24,Abrázame Muy Fuerte,Juan Gabriel,75,"cancion melodica, latin, latin pop, mariachi, ranchera, regional mexican",Latin,Abrázame Muy Fuerte,2000-12-12,3:59,52,39,69,0,31,6,13,-7,136,E Minor,9A,4,2022-02-11,2nejvFyJeTDtMRP2nUMt0J
25," thank u, next",Ariana Grande,25,"dance pop, pop",Pop,"thank u, next",2018-11-03,3:27,72,65,28,0,44,7,10,-6,107,C♯/D♭ Major,3B,4,2022-02-11,2rPE9A1vEgShuZxxzR2tZH
26,Moral of the Story (feat. Niall Horan) - Bonus Track,"Ashe,Niall Horan",72,"alt z, electropop, pop, dance pop, post-teen pop",Pop,Ashlyn,2021-05-07,3:18,58,37,50,0,22,4,22,-9,120,A#/B♭ Major,6B,4,2022-02-11,5v6qYImm5k36GHlFxdEZyv
27,Lie To Me,5 Seconds of Summer,70,"boy band, dance pop, electropop, pop, post-teen pop",Pop,Youngblood (Deluxe),2018-06-15,2:30,63,48,1,0,69,4,10,-6,160,C Major,8B,4,2022-02-11,3567eNX2L3RkkMkwspncMH
28,Enchanted,Taylor Swift,84,pop,Pop,Speak Now,2010-01-01,5:52,54,62,7,0,23,3,17,-4,82,G#/A♭ Major,4B,4,2022-02-11,04S1pkp1VaIqjg8zZqknR5
29,Ghost Of You,5 Seconds of Summer,80,"boy band, dance pop, electropop, pop, post-teen pop",Pop,Youngblood (Deluxe),2018-06-15,3:17,46,56,10,0,21,3,16,-5,150,A#/B♭ Major,6B,3,2022-02-11,1MhXdlCQPnO56T57MfmaRm
30,Getaway Car,Taylor Swift,79,pop,Pop,reputation,2017-11-10,3:53,56,69,0,0,35,13,9,-7,172,D Major,10B,4,2022-02-11,0VE4kBnHJUgtMf0dy6DRmW
31,Walking in the Wind,One Direction,71,"boy band, pop, post-teen pop, talent show",Pop,Made In The A.M. (Deluxe Edition),2015-11-13,3:22,69,45,8,0,50,5,9,-7,115,G#/A♭ Major,4B,4,2022-02-11,1ZycJRpLOazlLcoFGxGROO
32,deja vu,Olivia Rodrigo,90,pop,Pop,SOUR,2021-05-21,3:35,44,61,58,0,18,11,37,-7,181,D Major,10B,4,2022-02-11,6HU7h9RYOaPRFeh0R3UeAr
33,pov,Ariana Grande,81,"dance pop, pop",Pop,Positions,2020-10-30,3:21,49,53,36,0,17,6,10,-6,132,C Minor,5A,4,2022-02-11,3UoULw70kMsiVXxW0L3A33
34,Look Up At The Stars,Shawn Mendes,61,"canadian pop, dance pop, pop, viral pop",Pop,Wonder,2020-12-04,3:31,36,59,6,0,45,4,19,-5,168,D Major,10B,4,2022-02-11,0UauNGiFTVXTsgvVz6LBMf
35,fOoL fOr YoU,ZAYN,72,"dance pop, electropop, pop, post-teen pop, uk pop",Pop,Mind Of Mine (Deluxe Edition),2016-03-25,3:22,52,51,28,0,17,3,10,-7,78,G Major,9B,4,2022-02-11,6lvsJDZ7336YmpBzcNGhbe
36,Fool's Gold,One Direction,71,"boy band, pop, post-teen pop, talent show",Pop,FOUR (Deluxe),2014-11-17,3:30,52,77,23,0,38,5,9,-5,128,F#/G♭ Major,2B,4,2022-02-11,0L5gFNrzHyh4OhMwEz6DGS
37,Right Now,One Direction,70,"boy band, pop, post-teen pop, talent show",Pop,Midnight Memories (Deluxe),2013-11-25,3:20,65,78,22,0,37,3,9,-5,120,G#/A♭ Major,4B,4,2022-02-11,1dQQ2QlnvXUehsRUrukKmf
38,It'll Be Okay,Shawn Mendes,90,"canadian pop, dance pop, pop, viral pop",Pop,It'll Be Okay,2021-12-01,3:42,40,29,62,0,7,3,9,-12,78,G Major,9B,4,2022-02-11,2KnLkZ3z7PO3kgVGHGqDpD
39,If I Could Fly,One Direction,74,"boy band, pop, post-teen pop, talent show",Pop,Made In The A.M. (Deluxe Edition),2015-11-13,3:50,56,25,78,0,31,3,10,-9,75,F Major,7B,4,2022-02-11,5CRVwXGikmqzoRO6q7FeAg
40,Falling,Harry Styles,87,pop,Pop,Fine Line,2019-12-13,4:00,57,27,84,0,6,3,9,-7,110,E Major,12B,4,2022-02-11,1ZMiCix7XSAbfAJlEZWMCp
41," Girl Crush - Recorded at Metropolis Studios, London",Harry Styles,75,pop,Pop,Spotify Singles,2017-09-27,4:03,47,20,66,0,25,3,11,-12,144,E Major,12B,3,2022-02-11,4YutJsNwBBInE8vemufpQ8
42,Irresistible,One Direction,62,"boy band, pop, post-teen pop, talent show",Pop,Take Me Home (Expanded Edition),2012-11-12,3:56,54,49,3,0,26,2,11,-9,88,G Major,9B,4,2022-02-11,7y2SafCBiLoQVBDVZHaVOK
43,Fine Line,Harry Styles,80,pop,Pop,Fine Line,2019-12-13,6:17,31,35,17,0,5,3,5,-9,121,D Major,10B,4,2022-02-11,6VzcQuzTNTMFnJ6rBSaLH9
44,Let Somebody Go,"Coldplay,Selena Gomez",81,"permanent wave, pop, dance pop, post-teen pop","Pop, Rock",Music Of The Spheres,2021-10-15,4:01,59,34,19,0,16,3,11,-9,131,C Major,8B,4,2022-02-11,4cGqn0E8JCSY9gQllQj4Mf
45,Sweet Creature,Harry Styles,79,pop,Pop,Harry Styles,2017-05-12,3:44,43,26,75,0,23,3,7,-9,104,G Major,9B,4,2022-02-11,5kRPPEWFJIMox5qIkQkiz5
46,The One That Got Away,Katy Perry,72,"dance pop, pop, post-teen pop",Pop,Teenage Dream,2010-01-01,3:47,69,80,0,0,88,4,16,-4,134,C♯/D♭ Minor,12A,4,2022-02-11,6hkOqJ5mE093AQf2lbZnsG
47,Used to This,Camila Cabello,58,"dance pop, pop, post-teen pop",Pop,Romance,2019-12-06,3:30,58,50,36,0,36,8,35,-8,100,C♯/D♭ Minor,12A,4,2022-02-11,3r73OmpBtQAwMgawxOmlg0
48,Cherry,Harry Styles,76,pop,Pop,Fine Line,2019-12-13,4:19,53,51,62,0,41,3,13,-9,96,G Major,9B,4,2022-02-11,2IOFZdYYkFxEHVz1w34PoL
49,Hesitate,Jonas Brothers,58,"boy band, dance pop, pop, post-teen pop",Pop,Happiness Begins,2019-06-07,3:28,62,49,23,0,24,3,9,-7,118,D Major,10B,4,2022-02-11,7fiFJADUcHwTdYLmnZeLAy
50,This Love,Camila Cabello,63,"dance pop, pop, post-teen pop",Pop,Romance,2019-12-06,3:40,49,50,25,0,16,3,11,-6,180,G#/A♭ Major,4B,3,2022-02-11,7cHje4KLujM18aBSLvaySE
51,From the Dining Table,Harry Styles,77,pop,Pop,Harry Styles,2017-05-12,3:31,67,16,80,5,20,4,11,-16,94,G#/A♭ Major,4B,4,2022-02-11,1IF5UcqRO42D12vYwceOY6
52,needy,Ariana Grande,75,"dance pop, pop",Pop,"thank u, next",2019-02-08,2:51,65,31,78,0,20,4,20,-8,87,G Minor,6A,4,2022-02-11,1TEL6MlSSVLSdhOSddidlJ
53,Maniac,Conan Gray,84,"bedroom pop, indie pop, pop","Pop, Rock",Kid Krow,2020-03-20,3:05,63,64,0,0,49,4,35,-5,108,G#/A♭ Major,4B,4,2022-02-11,6KfoDhO4XUWSbnyKjNp9c4
54,happier,Olivia Rodrigo,88,pop,Pop,SOUR,2021-05-21,2:55,40,44,77,0,34,13,8,-10,169,F#/G♭ Major,2B,3,2022-02-11,2tGvwE8GcFKwNdAXMnlbfl
55,Never Be Me,Miley Cyrus,66,"dance pop, pop, post-teen pop",Pop,Plastic Hearts,2020-11-27,3:35,48,56,6,0,15,4,34,-8,165,C♯/D♭ Minor,12A,4,2022-02-11,1M7qLcfozANPcMKfgMEHOt
56,I Want to Write You a Song,One Direction,67,"boy band, pop, post-teen pop, talent show",Pop,Made In The A.M. (Deluxe Edition),2015-11-13,2:59,71,44,78,0,46,3,14,-8,106,F Major,7B,4,2022-02-11,608R6FvRtAqf2dvgKMzebP
57,Easy,Camila Cabello,61,"dance pop, pop, post-teen pop",Pop,Romance,2019-12-06,3:14,57,59,41,0,36,5,10,-6,128,E Minor,9A,4,2022-02-11,7DoNtK2gVFRwJh0hkHe5wQ
58,Look After You,The Fray,74,"neo mellow, piano rock, pop, pop rock","Folk/Acoustic, Pop",How To Save A Life,2005-09-13,4:26,45,59,6,0,28,3,13,-3,78,F#/G♭ Minor,11A,4,2022-02-11,5l6hpyTGBK0LAAxgPnqTQL
59,To Be So Lonely,Harry Styles,75,pop,Pop,Fine Line,2019-12-13,3:12,76,44,62,0,61,4,34,-7,105,C Major,8B,4,2022-02-11,5JiH89mHrv9oWHlD0T326z
60,Ever Since New York,Harry Styles,70,pop,Pop,Harry Styles,2017-05-12,4:13,39,54,20,0,38,3,13,-7,128,A#/B♭ Major,6B,5,2022-02-11,5LABCxgmP7DATATIJXOh6n
61,For The Lover That I Lost,Sam Smith,63,"dance pop, pop, uk pop",Pop,Love Goes,2020-10-30,2:59,49,29,82,0,41,4,13,-8,137,E Major,12B,4,2022-02-11,2Dmm6Ln91KMvF5EcOvQbM8
62,Angels Like You,Miley Cyrus,79,"dance pop, pop, post-teen pop",Pop,Plastic Hearts,2020-11-27,3:16,67,64,10,0,49,3,10,-4,122,F Major,7B,4,2022-02-11,1daDRI9ahBonbWD8YcxOIB
63,That Should Be Me,Justin Bieber,73,"canadian pop, pop",Pop,My World 2.0,2010-01-01,3:52,55,60,20,0,23,3,15,-6,140,G#/A♭ Major,4B,4,2022-02-11,0aPZbnkMoWJaJ5CNVLCj8S
64,Forgive Myself,Sam Smith,58,"dance pop, pop, uk pop",Pop,Love Goes,2020-10-30,3:40,76,16,92,0,21,4,12,-10,122,D#/E♭ Major,5B,4,2022-02-11,5wHRQRy339ghP31x0hUWcQ
65,Infinity,One Direction,70,"boy band, pop, post-teen pop, talent show",Pop,Made In The A.M. (Deluxe Edition),2015-11-13,4:09,54,71,7,0,32,3,8,-6,132,E Major,12B,4,2022-02-11,6N5xh0tYYLTQRiCCaNbAUt
66,When I Look At You,Miley Cyrus,76,"dance pop, pop, post-teen pop",Pop,The Time Of Our Lives (International Version),2009-01-01,4:08,46,55,14,0,19,3,11,-5,138,F#/G♭ Major,2B,3,2022-02-11,6ZfXA2xakAvphXOSOJ3u1W
67,She,Harry Styles,79,pop,Pop,Fine Line,2019-12-13,6:02,54,52,0,37,46,3,19,-6,140,C Major,8B,3,2022-02-11,6SQLk9HSNketfgs2AyIiMs
68,Moments,One Direction,65,"boy band, pop, post-teen pop, talent show",Pop,Up All Night,2012-05-25,4:22,47,74,3,0,25,5,30,-5,150,D Major,10B,4,2022-02-11,3MxJGBnYaP4yQYUv90HLqZ
69,iT's YoU,ZAYN,63,"dance pop, electropop, pop, post-teen pop, uk pop",Pop,Mind Of Mine (Deluxe Edition),2016-03-25,3:46,61,32,82,2,18,4,11,-11,125,F Major,7B,4,2022-02-11,6dtWKqqdveI3YvdYJQKWWn
70,Payphone,"Maroon 5,Wiz Khalifa",77,"pop, pop rock, dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap","Pop, Hip Hop",Overexposed,2012-01-01,3:51,74,76,1,0,52,4,37,-5,110,E Major,12B,4,2022-02-11,1LmN9SSHISbtp9LoaR5ZVJ
71,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth,Selena Gomez",71,"dance pop, pop, viral pop, post-teen pop",Pop,Nine Track Mind,2016-01-29,3:37,73,56,62,0,35,13,18,-8,100,C♯/D♭ Minor,12A,4,2022-02-11,37FXw5QGFN7uwwsLy8uAc0
72,Youngblood,5 Seconds of Summer,83,"boy band, dance pop, electropop, pop, post-teen pop",Pop,Youngblood (Deluxe),2018-06-15,3:23,60,85,2,0,15,46,12,-5,120,G Minor,6A,4,2022-02-11,2iUXsYOEPhVqEBwsqP70rE
73,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes,Adam Levine",84,"dance pop, pop rap,","Pop, Hip Hop",The Papercut Chronicles II,2011-11-11,3:30,65,80,3,0,80,10,27,-3,90,A Major,11B,4,2022-02-11,0qOnSQQF0yzuPWsXrQ9paz
74,Take Me To Church,Hozier,85,"irish singer-songwriter, pop","Folk/Acoustic, Pop",Hozier,2014-07-20,4:01,57,66,63,0,44,5,12,-5,129,E Minor,9A,4,2022-02-11,3dYD57lRAUcMHufyqn9GcI
75,Send My Love (To Your New Lover),Adele,2,"british soul, pop, pop soul, uk pop","R&B, Pop",25,2016-06-24,3:43,69,52,4,0,56,10,17,-8,164,F#/G♭ Minor,11A,4,2022-02-11,4BHzQ9C00ceJxfG16AlNWb
76,Blank Space,Taylor Swift,68,pop,Pop,1989,2014-01-01,3:51,75,68,9,0,58,6,13,-5,96,F Major,7B,4,2022-02-11,2ls70nUDfjzm1lSRDuKxmw
77,Wrecking Ball,Miley Cyrus,79,"dance pop, pop, post-teen pop",Pop,Bangerz (Deluxe Version),2013-10-04,3:41,53,42,41,0,35,3,11,-6,120,F Major,7B,4,2022-02-11,2vwlzO0Qp8kfEtzTsCXfyE
78,Roar,Katy Perry,76,"dance pop, pop, post-teen pop",Pop,PRISM (Deluxe),2013-10-18,3:43,55,77,0,0,46,4,35,-5,180,G Minor,6A,4,2022-02-11,6F5c58TMEs1byxUstkzVeM
79,A Sky Full of Stars,Coldplay,81,"permanent wave, pop","Rock, Pop",Ghost Stories,2014-05-19,4:27,55,68,1,0,16,3,21,-6,125,F#/G♭ Major,2B,4,2022-02-11,0FDzzruyVECATHXKHFs9eJ
80,Talking to the Moon,Bruno Mars,80,"dance pop, pop",Pop,Doo-Wops & Hooligans,2010-10-05,3:37,50,59,51,0,8,3,11,-5,146,C♯/D♭ Minor,12A,4,2022-02-11,1wVuPmvt6AWvTL5W2GJnzZ
81,We Are Never Ever Getting Back Together,Taylor Swift,63,pop,Pop,Red (Deluxe Edition),2012-10-22,3:13,63,68,1,0,75,9,12,-6,86,G Major,9B,4,2022-02-11,6kISMRfweKSvgHR0urMQFG
82,I Feel It Coming,"The Weeknd,Daft Punk",1,"canadian contemporary r&b, canadian pop, pop, electro, filter house","R&B, Pop, Hip Hop, Dance/Electronic",Starboy,2016-11-25,4:29,77,81,43,0,57,14,10,-6,93,C Minor,5A,4,2022-02-11,4RepvCWqsP6zBuzvwYibAS
83,34+35,Ariana Grande,85,"dance pop, pop",Pop,Positions,2020-10-30,2:53,83,59,24,0,49,9,25,-6,110,C Major,8B,4,2022-02-11,6Im9k8u9iIzKMrmV7BWtlF
84,IDGAF,Dua Lipa,81,"dance pop, pop, uk pop",Pop,Dua Lipa (Deluxe),2017-06-02,3:37,84,54,4,0,51,9,8,-6,97,G Major,9B,4,2022-02-11,76cy1WJvNGJTj78UqeA5zr
85,Hot N Cold,Katy Perry,76,"dance pop, pop, post-teen pop",Pop,One Of The Boys,2008-06-17,3:40,71,84,0,0,86,4,7,-4,132,G Major,9B,4,2022-02-11,0iGckQFyv6svOfAbAY9aWJ
86,august,Taylor Swift,80,pop,Pop,folklore,2020-07-24,4:21,53,62,54,0,40,3,9,-9,90,F Major,7B,4,2022-02-11,3hUxzQpSfdDqwM3ZTFQY0K
87,All Too Well (Taylor's Version),Taylor Swift,82,pop,Pop,Red (Taylor's Version),2021-11-12,5:29,44,53,2,0,13,3,23,-8,186,C Major,8B,4,2022-02-11,3nsfB1vus2qaloUdcBZvDu
88,Complicated,Avril Lavigne,0,"canadian pop, candy pop, dance pop, pop, post-teen pop",Pop,Let Go,2002-06-14,4:04,58,76,6,0,41,5,31,-6,78,F Major,7B,4,2022-02-11,34xZFT7artr3SGqgSoR88L
89,Jigsaw,Conan Gray,78,"bedroom pop, indie pop, pop","Pop, Rock",Jigsaw,2022-01-21,3:28,27,52,8,0,16,3,10,-6,168,A Major,11B,4,2022-02-11,1WzOonguDKuWQrTTf5yR0D
90,Skinny Dipping,Sabrina Carpenter,64,"alt z, dance pop, electropop, pop, post-teen pop, viral pop",Pop,Skinny Dipping,2021-09-09,2:57,46,54,27,0,41,14,14,-9,120,E Major,12B,5,2022-02-11,7u6HtmuMeuiVdwwFul5xHi
91,Nineteen,Dylan,70,"alt z, uk pop",Pop,Nineteen,2021-08-20,3:38,48,74,0,0,21,5,70,-6,95,C Major,8B,4,2022-02-11,1bkZht7OWHNYaLfge35Pqv
92,Crisis,Joshua Bassett,72,"alt z, pop, post-teen pop, social media pop",Pop,Crisis / Secret / Set Me Free,2021-12-03,3:09,59,51,18,0,46,5,18,-7,134,D Major,10B,4,2022-02-11,1mEM6KkVMwpuAuqusCMD6m
93,Bad Habits,Ed Sheeran,68,"pop, uk pop",Pop,Bad Habits,2021-06-25,3:51,81,90,5,0,59,3,36,-4,126,B Minor,10A,4,2022-02-11,6PQ88X9TkUIAUIZJHW2upE
94,You're Not Harry Styles,Dylan,67,"alt z, uk pop",Pop,You're Not Harry Styles,2021-11-26,2:56,55,77,1,0,67,7,9,-5,165,F#/G♭ Major,2B,4,2022-02-11,1yCrrZwlYPS3AqQHsJvFlu
95,Happier Than Ever,Billie Eilish,92,"art pop, electropop, pop",Pop,Happier Than Ever,2021-07-30,4:58,33,23,77,0,30,3,13,-9,81,C Major,8B,3,2022-02-11,4RVwu0g32PAqgUiJoXsdF8
96,forever&more,ROLE MODEL,69,"alt z, bedroom pop, indie pop, pop","Pop, Rock",forever&more,2021-07-22,2:55,69,64,30,0,51,8,12,-6,84,A Major,11B,4,2022-02-11,0UMFm4ndFr3PH5VsVYnCNG
97,305,Shawn Mendes,64,"canadian pop, dance pop, pop, viral pop",Pop,Wonder,2020-12-04,3:09,56,87,21,3,93,6,12,-5,165,F#/G♭ Major,2B,4,2022-02-11,5ld8E3DVBXCCWQ54yrkWVp
98,Feel Something,Joshua Bassett,62,"alt z, pop, post-teen pop, social media pop",Pop,Feel Something,2021-05-07,2:43,52,90,33,0,51,41,18,-5,200,C Major,8B,4,2022-02-11,0JU7KoyKSFgY1zJV2ex6Ee
99,Teach Me How To Love,Shawn Mendes,70,"canadian pop, dance pop, pop, viral pop",Pop,Wonder,2020-12-04,3:22,59,89,5,0,73,8,8,-5,99,A Minor,8A,4,2022-02-11,5LZtB6nxvjIhUoElp3Zqk0
100,Telling Myself,Joshua Bassett,58,"alt z, pop, post-teen pop, social media pop",Pop,Joshua Bassett,2021-03-12,2:49,77,81,18,0,89,5,7,-4,131,B Minor,10A,4,2022-02-11,6EiaFdYn2vrI0TSeKprX4R
